development-plan-document,name,document-url,development-plan-type,organisations,geographies,note,description,development-policies,entry-date,start-date,end-date
dev-plan-cmd-2016-2031-xyz,Camden Local Plan (High Res),https://www.camden.gov.uk/documents/20142/4820180/Local+Plan.pdf/ce6e992a-91f9-3a60-720c-70290fab78a6,local-plan,local-authority-eng:CMD,E09000007,,,,2020-10-21,2020-01-01,2031-12-31
dev-plan-cmd-sa-xyz,Site Allocations,https://www.camden.gov.uk/documents/20142/4820180/Site+Allocations+Plan+2013.pdf/fee9b22c-ac6f-900f-6d78-28f42d4bf084?t=1544030329902,local-plan,local-authority-eng:CMD,E09000007,,,,2020-10-21,2013-09-09,
neigh-plan-cmd-hmp-xyz,Hampstead Neighbourhood plan,https://www.camden.gov.uk/documents/20142/5158140/Plan+for+republishing.pdf/0de2245a-d751-d35b-c231-53755215e3e3,neighbourhood,local-authority-eng:CMD,E09000007,,,,2020-10-21,2018-01-01,2033-12-31
